timestamp,allocated,active,metadata,resident,mapped
6260375530296000,235520,294912,3551560,3768320,10633216
6260375543247000,727040,868352,3553480,4341760,10633216
6260375554527000,1185792,1392640,3555016,4866048,10633216
6260375565931000,1611776,1884160,3556552,5455872,10633216
6260375578781000,2070528,2424832,3558856,5898240,12730368
6260375590080000,2643968,3080192,3560776,6553600,12730368
6260375602617000,3250176,3768320,3562696,7241728,12730368
6260375615505000,3725312,4308992,3565000,7782400,14827520
6260375627451000,4020224,4653056,3566536,8126464,14827520
6260375638357000,4610048,5324800,3568456,8798208,14827520
6260375650895000,5134336,5931008,3570760,9420800,16924672
6260375662796000,5511168,6373376,3572296,9863168,16924672
6260375674301000,5953536,6881280,3573832,10371072,16924672
6260375686031000,6363136,7356416,3575752,10846208,16924672
6260375697865000,6838272,7897088,3577672,11386880,19021824
6260375708522000,7346176,8470528,3579208,12107776,19021824
6260375721072000,7903232,9109504,3581128,12746752,19021824
6260375733871000,8427520,9715712,3583432,13205504,21118976
6260375746794000,8886272,10256384,3585352,13860864,21118976
6260375758464000,9295872,10731520,3587272,14237696,21118976
6260375771621000,9820160,11337728,3589192,14843904,21118976
6260375782621000,10115072,11681792,3591112,15319040,23216128
6260375795429000,10590208,12222464,3593032,15728640,23216128
6260375808220000,11065344,12763136,3594952,16269312,23216128
6260375821213000,11507712,13271040,3597256,16875520,25313280
6260375833975000,12015616,13860864,3599176,17367040,25313280
6260375846339000,12441600,14352384,3601096,17858560,25313280
6260375859122000,12638208,14598144,3603400,18120704,27410432
6260375869959000,13195264,15237120,3605320,18759680,27410432
6260375882773000,13621248,15728640,3607240,19251200,27410432
6260375895625000,14161920,16351232,3609544,19873792,29507584
6260375908430000,14702592,16973824,3611464,20496384,29507584
6260375921645000,15226880,17580032,3613384,21102592,29507584
6260375934435000,15652864,18071552,3615688,21594112,31604736
6260375946085000,15996928,18464768,3617224,21987328,31604736
6260375958879000,16357376,18890752,3619144,22429696,31604736
6260375969451000,16619520,19202048,3620680,22839296,31604736
6260375982277000,17192960,19857408,3622984,23396352,33701888
6260375995000000,17717248,20463616,3624904,24002560,33701888
6260376005487000,18012160,20807680,3626440,24346624,33701888
6260376017510000,18520064,21397504,3628744,24936448,35799040
6260376030160000,19142656,22102016,3630664,25640960,35799040
6260376042586000,19601408,22626304,3632200,26165248,35799040
6260376055569000,20125696,23232512,3634120,26771456,35799040
6260376067894000,20436992,23592960,3636424,27148288,37896192
6260376078604000,20649984,23855104,3637960,27410432,37896192
6260376090508000,21108736,24379392,3639880,27934720,37896192
6260376102252000,21551104,24887296,3641800,28442624,39993344
6260376114158000,22140928,25559040,3643720,29114368,39993344
6260376125847000,22534144,26017792,3645256,29573120,39993344
6260376137792000,22976512,26525696,3647560,30081024,42090496
6260376150535000,23582720,27213824,3649480,30769152,42090496
6260376163892000,23943168,27623424,3651400,31195136,42090496
6260376176716000,24385536,28131328,3653704,31703040,44187648
6260376189765000,24827904,28639232,3655624,32210944,44187648
6260376200879000,25237504,29114368,3657160,32686080,44187648
6260376212737000,25516032,29442048,3659080,33013760,44187648
6260376225770000,25761792,29720576,3661384,33292288,46284800
6260376238062000,26073088,30081024,3662920,33783808,46284800
6260376250832000,26679296,30769152,3665224,34340864,46284800
6260376263678000,27252736,31424512,3667528,35012608,48381952
6260376276820000,27793408,32047104,3669448,35635200,48381952
6260376289907000,28219392,32538624,3670984,36257792,48381952
6260376301019000,28645376,33030144,3673288,36618240,50479104
6260376313364000,29202432,33669120,3675208,37257216,50479104
6260376326334000,29562880,34095104,3676744,37683200,50479104
6260376339152000,29906944,34504704,3678664,38092800,50479104
6260376352296000,30431232,35110912,3680968,38699008,52576256
6260376365224000,30873600,35618816,3682888,39206912,52576256
6260376376320000,31365120,36192256,3684808,39796736,52576256
6260376389328000,31873024,36782080,3687112,40386560,54673408
6260376401981000,32102400,37044224,3688264,40648704,54673408
6260376414816000,32544768,37552128,3690184,41156608,54673408
6260376427553000,33036288,38109184,3692104,41713664,54673408
6260376440404000,33462272,38600704,3694408,42205184,56770560
6260376452199000,33904640,39108608,3696328,42713088,56770560
6260376465039000,34461696,39747584,3698248,43352064,56770560
6260376477581000,34887680,40239104,3700168,43991040,58867712
6260376489414000,35493888,40927232,3702088,44548096,58867712
6260376502842000,35919872,41418752,3704008,45039616,58867712
6260376513842000,35969024,41484288,3705928,45105152,60964864
6260376527238000,36444160,42041344,3707848,45662208,60964864
6260376539953000,36902912,42582016,3709768,46202880,60964864
6260376552222000,37394432,43139072,3712072,46759936,63062016
6260376565062000,37902336,43728896,3713992,47349760,63062016
6260376578295000,38459392,44367872,3715912,47988736,63062016
6260376591157000,38885376,44859392,3718216,48496640,65159168
6260376602738000,39229440,45252608,3719752,48889856,65159168
6260376615675000,39753728,45858816,3722056,49496064,65159168
6260376626576000,40097792,46252032,3723592,49889280,65159168
6260376638311000,40392704,46579712,3725512,50364416,67256320
6260376651157000,40998912,47284224,3727816,50921472,67256320
6260376664528000,41490432,47841280,3729736,51478528,67256320
6260376677409000,41867264,48283648,3731656,52051968,69353472
6260376690273000,42473472,48971776,3733960,52625408,69353472
6260376702374000,42752000,49299456,3735496,52953088,69353472
6260376713511000,43243520,49872896,3737800,53526528,71450624
6260376726872000,43718656,50429952,3739720,54083584,71450624
6260376739700000,44226560,51019776,3741640,54673408,71450624
6260376751718000,44718080,51593216,3743560,55246848,71450624
6260376764287000,44980224,51904512,3745480,55689216,73547776
6260376776395000,45553664,52559872,3747400,56213504,73547776
6260376789201000,46077952,53166080,3749320,56819712,73547776
6260376799727000,46323712,53460992,3751240,57131008,75644928
6260376811735000,46815232,54034432,3753160,57704448,75644928
6260376822494000,47257600,54542336,3754696,58212352,75644928
6260376834163000,47749120,55115776,3756616,58785792,75644928
6260376847367000,48191488,55623680,3758920,59293696,77742080
6260376859970000,48519168,56000512,3760840,59670528,77742080
6260376872287000,49043456,56606720,3762760,60276736,77742080
6260376884824000,49453056,57081856,3764680,60751872,79839232
6260376897031000,49993728,57704448,3766600,61390848,79839232
6260376910024000,50599936,58408960,3768904,62095360,79839232
6260376922843000,50829312,58687488,3771208,62373888,81936384
6260376934076000,51238912,59162624,3772744,62849024,81936384
6260376947044000,51812352,59817984,3774664,63504384,81936384
6260376960219000,52303872,60375040,3776968,64061440,84033536
6260376972339000,52795392,60948480,3778888,64634880,84033536
6260376985131000,53123072,61325312,3780808,65011712,84033536
6260376996753000,53368832,61620224,3782344,65323008,84033536
6260377008483000,53958656,62291968,3784648,65994752,86130688
6260377021883000,54335488,62717952,3786568,66420736,86130688
6260377035213000,54908928,63373312,3788488,67076096,86130688
6260377045978000,55334912,63864832,3790408,67682304,88227840
6260377059066000,55793664,64389120,3792712,68091904,88227840
6260377072465000,56236032,64897024,3794248,68714496,88227840
6260377084165000,56612864,65339392,3796552,69042176,90324992
6260377096797000,57120768,65929216,3798472,69632000,90324992
6260377109386000,57628672,66502656,3800392,70221824,90324992
6260377122210000,58071040,67010560,3802696,70729728,92422144
6260377134984000,58578944,67600384,3804616,71319552,92422144
6260377147827000,59037696,68141056,3806536,71860224,92422144
6260377159179000,59578368,68763648,3808840,72482816,94519296
6260377172013000,60200960,69468160,3810760,73187328,94519296
6260377184650000,60348416,69648384,3812296,73367552,94519296
6260377197228000,60708864,70074368,3814216,73793536,94519296
6260377210629000,61331456,70795264,3816904,74530816,96616448
6260377221619000,61773824,71303168,3818440,75038720,96616448
6260377234181000,62347264,71958528,3820360,75694080,96616448
6260377246915000,62838784,72515584,3822664,76251136,98713600
6260377259727000,63363072,73121792,3824584,76857344,98713600
6260377271132000,63739904,73564160,3826120,77398016,98713600
6260377283951000,64329728,74252288,3828808,77987840,100810752
6260377296703000,64886784,74874880,3830728,78610432,100810752
6260377309164000,65230848,75268096,3832264,79020032,100810752
6260377322040000,65820672,75939840,3834568,79691776,102907904
6260377332861000,66197504,76365824,3836104,80232448,102907904
6260377345784000,66770944,77021184,3838024,80904192,102907904
6260377358527000,67213312,77529088,3840328,81281024,105005056
6260377371725000,67721216,78118912,3842248,81870848,105005056
6260377384137000,68294656,78774272,3844168,82640896,105005056
6260377397030000,68917248,79478784,3846856,83230720,107102208
6260377409755000,69228544,79839232,3848392,83607552,107102208
6260377420376000,69818368,80510976,3850312,84279296,107102208
6260377433171000,70293504,81051648,3851848,84819968,107102208
6260377446009000,70916096,81772544,3854536,85540864,109199360
6260377456430000,71243776,82149376,3855688,86065152,109199360
6260377469232000,71702528,82673664,3857608,86441984,109199360
6260377482017000,72259584,83296256,3860296,87064576,111296512
6260377493844000,72718336,83820544,3861832,87588864,111296512
6260377504620000,73177088,84344832,3863368,88113152,111296512
6260377517996000,73799680,85065728,3866056,88850432,113393664
6260377530806000,74323968,85655552,3867976,89440256,113393664
6260377543701000,74864640,86278144,3869896,90062848,113393664
6260377556493000,75290624,86769664,3872200,90554368,115490816
6260377569956000,75405312,86900736,3873736,90685440,115490816
6260377582137000,75405312,86900736,3873736,90685440,115490816
6260377593870000,75683840,87228416,3874888,91013120,115490816
