timestamp,allocated,active,metadata,resident,mapped
6258164925166000,44472320,51298304,3773512,55099392,228737024
6258164936370000,44947456,51855360,3775432,55541760,230834176
6258164949094000,45225984,52183040,3777736,55869440,232931328
6258164961721000,45537280,52543488,3780040,56229888,235028480
6258164973336000,46012416,53100544,3782344,56803328,237125632
6258164985930000,46553088,53723136,3784648,57425920,239222784
6258164997687000,46897152,54116352,3786568,57819136,241319936
6258165010317000,47503360,54804480,3788872,58507264,243417088
6258165021465000,47814656,55164928,3790792,58966016,245514240
6258165034180000,48338944,55771136,3793096,59473920,247611392
6258165045839000,48912384,56426496,3795784,60129280,251805696
6258165058462000,49420288,57016320,3798088,60719104,253902848
6258165070043000,49715200,57360384,3800008,61177856,256000000
6258165082702000,50288640,58032128,3802696,61751296,258097152
6258165106148000,50616320,58408960,3805000,62128128,260194304
6258165119859000,51075072,58933248,3806920,62652416,262291456
6258165130824000,51402752,59310080,3808840,63029248,264388608
6258165143396000,51648512,59604992,3810760,63324160,266485760
6258165155772000,52156416,60194816,3813064,63913984,268582912
6258165168382000,52451328,60538880,3815752,64274432,272777216
6258165180185000,52910080,61063168,3817288,64798720,272777216
6258165192889000,53336064,61554688,3819592,65290240,274874368
6258165205710000,53925888,62226432,3821896,65961984,276971520
6258165218328000,54482944,62865408,3824584,66600960,281165824
6258165230774000,55023616,63488000,3826888,67223552,283262976
6258165243431000,55482368,64028672,3829192,67764224,285360128
6258165255779000,56088576,64733184,3831880,68485120,287457280
6258165266756000,56530944,65241088,3833800,68993024,289554432
6258165279406000,57038848,65830912,3836104,69582848,291651584
6258165289578000,57366528,66207744,3838024,69959680,293748736
6258165302202000,57874432,66797568,3840328,70549504,295845888
6258165314821000,58398720,67403776,3842632,71155712,297943040
6258165327441000,58677248,67731456,3844936,71483392,300040192
6258165338877000,59021312,68124672,3846856,71876608,302137344
6258165350065000,59430912,68599808,3849160,72466432,304234496
6258165362714000,59938816,69189632,3851080,72957952,306331648
6258165372984000,60184576,69386240,3853384,73252864,308428800
6258165385650000,60545024,69910528,3855304,73678848,310525952
6258165398293000,61085696,70533120,3857608,74301440,312623104
6258165410926000,61544448,71057408,3859912,74825728,314720256
6258165421654000,62068736,71663616,3862216,75431936,316817408
6258165433418000,62560256,72220672,3864136,76005376,318914560
6258165446040000,63133696,72876032,3866440,76660736,321011712
6258165458685000,63510528,73318400,3868744,77103104,323108864
6258165468822000,63985664,73859072,3870664,77643776,325206016
6258165480562000,64509952,74465280,3872968,78249984,327303168
6258165490825000,64837632,74842112,3874888,78626816,329400320
6258165503456000,65148928,75202560,3876808,78987264,331497472
6258165513746000,65607680,75726848,3879112,79659008,333594624
